generator_name,algo,algo_params,n_vars,n_arcs,n_samples,graph_idx,golden_path,learned_path,error_msg,time_s,SHD,SHD_skeleton,F1-Score,F1-Score_skeleton,TPR,TPR_skeleton
cbn_unif_gauss,CPC,"{""alpha"": 0.05, ""max_conditioning_set_size"": 3}",10,15,200,0,2026-07-31_23h23_cbn_unif_gauss/graphs/golden__v10_a15_g0.json,2026-07-31_23h23_cbn_unif_gauss/graphs/CPC__v10_a15_g0_s200.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',0.02847878799366299,,,,,,
cbn_unif_gauss,CMIIC,"{""alpha"": 0.05}",10,15,200,0,2026-07-31_23h23_cbn_unif_gauss/graphs/golden__v10_a15_g0.json,2026-07-31_23h23_cbn_unif_gauss/graphs/CMIIC__v10_a15_g0_s200.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',0.08867930600536056,,,,,,
cbn_unif_gauss,CPC,"{""alpha"": 0.05, ""max_conditioning_set_size"": 3}",10,15,500,0,2026-07-31_23h23_cbn_unif_gauss/graphs/golden__v10_a15_g0.json,2026-07-31_23h23_cbn_unif_gauss/graphs/CPC__v10_a15_g0_s500.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',0.16420158500841353,,,,,,
cbn_unif_gauss,CMIIC,"{""alpha"": 0.05}",10,15,500,0,2026-07-31_23h23_cbn_unif_gauss/graphs/golden__v10_a15_g0.json,2026-07-31_23h23_cbn_unif_gauss/graphs/CMIIC__v10_a15_g0_s500.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',0.4693172980041709,,,,,,
cbn_unif_gauss,CPC,"{""alpha"": 0.05, ""max_conditioning_set_size"": 3}",10,15,1000,0,2026-07-31_23h23_cbn_unif_gauss/graphs/golden__v10_a15_g0.json,2026-07-31_23h23_cbn_unif_gauss/graphs/CPC__v10_a15_g0_s1000.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',0.6981184920005035,,,,,,
cbn_unif_gauss,CMIIC,"{""alpha"": 0.05}",10,15,1000,0,2026-07-31_23h23_cbn_unif_gauss/graphs/golden__v10_a15_g0.json,2026-07-31_23h23_cbn_unif_gauss/graphs/CMIIC__v10_a15_g0_s1000.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',1.343109851994086,,,,,,
cbn_unif_gauss,CPC,"{""alpha"": 0.05, ""max_conditioning_set_size"": 3}",10,15,3000,0,2026-07-31_23h23_cbn_unif_gauss/graphs/golden__v10_a15_g0.json,2026-07-31_23h23_cbn_unif_gauss/graphs/CPC__v10_a15_g0_s3000.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',9.150150700006634,,,,,,
cbn_unif_gauss,CMIIC,"{""alpha"": 0.05}",10,15,3000,0,2026-07-31_23h23_cbn_unif_gauss/graphs/golden__v10_a15_g0.json,2026-07-31_23h23_cbn_unif_gauss/graphs/CMIIC__v10_a15_g0_s3000.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',10.389147449008306,,,,,,
cbn_unif_gauss,CPC,"{""alpha"": 0.05, ""max_conditioning_set_size"": 3}",10,15,5000,0,2026-07-31_23h23_cbn_unif_gauss/graphs/golden__v10_a15_g0.json,2026-07-31_23h23_cbn_unif_gauss/graphs/CPC__v10_a15_g0_s5000.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',27.895734760997584,,,,,,
cbn_unif_gauss,CMIIC,"{""alpha"": 0.05}",10,15,5000,0,2026-07-31_23h23_cbn_unif_gauss/graphs/golden__v10_a15_g0.json,2026-07-31_23h23_cbn_unif_gauss/graphs/CMIIC__v10_a15_g0_s5000.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',30.221377595997183,,,,,,
cbn_unif_gauss,CPC,"{""alpha"": 0.05, ""max_conditioning_set_size"": 3}",10,15,200,1,2026-07-31_23h23_cbn_unif_gauss/graphs/golden__v10_a15_g1.json,2026-07-31_23h23_cbn_unif_gauss/graphs/CPC__v10_a15_g1_s200.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',0.028465106996009126,,,,,,
cbn_unif_gauss,CMIIC,"{""alpha"": 0.05}",10,15,200,1,2026-07-31_23h23_cbn_unif_gauss/graphs/golden__v10_a15_g1.json,2026-07-31_23h23_cbn_unif_gauss/graphs/CMIIC__v10_a15_g1_s200.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',0.07549392999499105,,,,,,
cbn_unif_gauss,CPC,"{""alpha"": 0.05, ""max_conditioning_set_size"": 3}",10,15,500,1,2026-07-31_23h23_cbn_unif_gauss/graphs/golden__v10_a15_g1.json,2026-07-31_23h23_cbn_unif_gauss/graphs/CPC__v10_a15_g1_s500.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',0.1609975509927608,,,,,,
cbn_unif_gauss,CMIIC,"{""alpha"": 0.05}",10,15,500,1,2026-07-31_23h23_cbn_unif_gauss/graphs/golden__v10_a15_g1.json,2026-07-31_23h23_cbn_unif_gauss/graphs/CMIIC__v10_a15_g1_s500.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',0.393646821990842,,,,,,
cbn_unif_gauss,CPC,"{""alpha"": 0.05, ""max_conditioning_set_size"": 3}",10,15,1000,1,2026-07-31_23h23_cbn_unif_gauss/graphs/golden__v10_a15_g1.json,2026-07-31_23h23_cbn_unif_gauss/graphs/CPC__v10_a15_g1_s1000.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',0.813771552988328,,,,,,
cbn_unif_gauss,CMIIC,"{""alpha"": 0.05}",10,15,1000,1,2026-07-31_23h23_cbn_unif_gauss/graphs/golden__v10_a15_g1.json,2026-07-31_23h23_cbn_unif_gauss/graphs/CMIIC__v10_a15_g1_s1000.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',1.3732182110106805,,,,,,
cbn_unif_gauss,CPC,"{""alpha"": 0.05, ""max_conditioning_set_size"": 3}",10,15,3000,1,2026-07-31_23h23_cbn_unif_gauss/graphs/golden__v10_a15_g1.json,2026-07-31_23h23_cbn_unif_gauss/graphs/CPC__v10_a15_g1_s3000.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',9.14893861899327,,,,,,
cbn_unif_gauss,CMIIC,"{""alpha"": 0.05}",10,15,3000,1,2026-07-31_23h23_cbn_unif_gauss/graphs/golden__v10_a15_g1.json,2026-07-31_23h23_cbn_unif_gauss/graphs/CMIIC__v10_a15_g1_s3000.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',10.431742325003142,,,,,,
cbn_unif_gauss,CPC,"{""alpha"": 0.05, ""max_conditioning_set_size"": 3}",10,15,5000,1,2026-07-31_23h23_cbn_unif_gauss/graphs/golden__v10_a15_g1.json,2026-07-31_23h23_cbn_unif_gauss/graphs/CPC__v10_a15_g1_s5000.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',31.40421101699758,,,,,,
cbn_unif_gauss,CMIIC,"{""alpha"": 0.05}",10,15,5000,1,2026-07-31_23h23_cbn_unif_gauss/graphs/golden__v10_a15_g1.json,2026-07-31_23h23_cbn_unif_gauss/graphs/CMIIC__v10_a15_g1_s5000.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',28.5114165119885,,,,,,
cbn_unif_gauss,CPC,"{""alpha"": 0.05, ""max_conditioning_set_size"": 3}",10,15,200,2,2026-07-31_23h23_cbn_unif_gauss/graphs/golden__v10_a15_g2.json,2026-07-31_23h23_cbn_unif_gauss/graphs/CPC__v10_a15_g2_s200.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',0.034575826008222066,,,,,,
cbn_unif_gauss,CMIIC,"{""alpha"": 0.05}",10,15,200,2,2026-07-31_23h23_cbn_unif_gauss/graphs/golden__v10_a15_g2.json,2026-07-31_23h23_cbn_unif_gauss/graphs/CMIIC__v10_a15_g2_s200.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',0.11288340100145433,,,,,,
cbn_unif_gauss,CPC,"{""alpha"": 0.05, ""max_conditioning_set_size"": 3}",10,15,500,2,2026-07-31_23h23_cbn_unif_gauss/graphs/golden__v10_a15_g2.json,2026-07-31_23h23_cbn_unif_gauss/graphs/CPC__v10_a15_g2_s500.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',0.19155157898785546,,,,,,
cbn_unif_gauss,CMIIC,"{""alpha"": 0.05}",10,15,500,2,2026-07-31_23h23_cbn_unif_gauss/graphs/golden__v10_a15_g2.json,2026-07-31_23h23_cbn_unif_gauss/graphs/CMIIC__v10_a15_g2_s500.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',0.5156468670029426,,,,,,
cbn_unif_gauss,CPC,"{""alpha"": 0.05, ""max_conditioning_set_size"": 3}",10,15,1000,2,2026-07-31_23h23_cbn_unif_gauss/graphs/golden__v10_a15_g2.json,2026-07-31_23h23_cbn_unif_gauss/graphs/CPC__v10_a15_g2_s1000.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',1.3534061210084474,,,,,,
cbn_unif_gauss,CMIIC,"{""alpha"": 0.05}",10,15,1000,2,2026-07-31_23h23_cbn_unif_gauss/graphs/golden__v10_a15_g2.json,2026-07-31_23h23_cbn_unif_gauss/graphs/CMIIC__v10_a15_g2_s1000.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',1.8499566460086498,,,,,,
