generator_name,algo,algo_params,n_vars,n_arcs,n_samples,graph_idx,golden_path,learned_path,error_msg,time_s,SHD,SHD_skeleton,F1-Score,F1-Score_skeleton,TPR,TPR_skeleton
cbn_exp_clayton,CPC,"{""alpha"": 0.05, ""max_conditioning_set_size"": 3}",10,15,200,0,2026-08-01_04h40_cbn_exp_clayton/graphs/golden__v10_a15_g0.json,2026-08-01_04h40_cbn_exp_clayton/graphs/CPC__v10_a15_g0_s200.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',0.028403274991433136,,,,,,
cbn_exp_clayton,CMIIC,"{""alpha"": 0.05}",10,15,200,0,2026-08-01_04h40_cbn_exp_clayton/graphs/golden__v10_a15_g0.json,2026-08-01_04h40_cbn_exp_clayton/graphs/CMIIC__v10_a15_g0_s200.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',0.09538326400797814,,,,,,
cbn_exp_clayton,CPC,"{""alpha"": 0.05, ""max_conditioning_set_size"": 3}",10,15,500,0,2026-08-01_04h40_cbn_exp_clayton/graphs/golden__v10_a15_g0.json,2026-08-01_04h40_cbn_exp_clayton/graphs/CPC__v10_a15_g0_s500.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',0.1530684829922393,,,,,,
cbn_exp_clayton,CMIIC,"{""alpha"": 0.05}",10,15,500,0,2026-08-01_04h40_cbn_exp_clayton/graphs/golden__v10_a15_g0.json,2026-08-01_04h40_cbn_exp_clayton/graphs/CMIIC__v10_a15_g0_s500.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',0.42708562000188977,,,,,,
cbn_exp_clayton,CPC,"{""alpha"": 0.05, ""max_conditioning_set_size"": 3}",10,15,1000,0,2026-08-01_04h40_cbn_exp_clayton/graphs/golden__v10_a15_g0.json,2026-08-01_04h40_cbn_exp_clayton/graphs/CPC__v10_a15_g0_s1000.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',0.7460011609946378,,,,,,
cbn_exp_clayton,CMIIC,"{""alpha"": 0.05}",10,15,1000,0,2026-08-01_04h40_cbn_exp_clayton/graphs/golden__v10_a15_g0.json,2026-08-01_04h40_cbn_exp_clayton/graphs/CMIIC__v10_a15_g0_s1000.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',1.340661900001578,,,,,,
cbn_exp_clayton,CPC,"{""alpha"": 0.05, ""max_conditioning_set_size"": 3}",10,15,3000,0,2026-08-01_04h40_cbn_exp_clayton/graphs/golden__v10_a15_g0.json,2026-08-01_04h40_cbn_exp_clayton/graphs/CPC__v10_a15_g0_s3000.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',9.36903168799472,,,,,,
cbn_exp_clayton,CMIIC,"{""alpha"": 0.05}",10,15,3000,0,2026-08-01_04h40_cbn_exp_clayton/graphs/golden__v10_a15_g0.json,2026-08-01_04h40_cbn_exp_clayton/graphs/CMIIC__v10_a15_g0_s3000.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',11.35937385399302,,,,,,
cbn_exp_clayton,CPC,"{""alpha"": 0.05, ""max_conditioning_set_size"": 3}",10,15,5000,0,2026-08-01_04h40_cbn_exp_clayton/graphs/golden__v10_a15_g0.json,2026-08-01_04h40_cbn_exp_clayton/graphs/CPC__v10_a15_g0_s5000.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',29.483995036993292,,,,,,
cbn_exp_clayton,CMIIC,"{""alpha"": 0.05}",10,15,5000,0,2026-08-01_04h40_cbn_exp_clayton/graphs/golden__v10_a15_g0.json,2026-08-01_04h40_cbn_exp_clayton/graphs/CMIIC__v10_a15_g0_s5000.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',30.95403826299298,,,,,,
cbn_exp_clayton,CPC,"{""alpha"": 0.05, ""max_conditioning_set_size"": 3}",10,15,200,1,2026-08-01_04h40_cbn_exp_clayton/graphs/golden__v10_a15_g1.json,2026-08-01_04h40_cbn_exp_clayton/graphs/CPC__v10_a15_g1_s200.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',0.028689443002804182,,,,,,
cbn_exp_clayton,CMIIC,"{""alpha"": 0.05}",10,15,200,1,2026-08-01_04h40_cbn_exp_clayton/graphs/golden__v10_a15_g1.json,2026-08-01_04h40_cbn_exp_clayton/graphs/CMIIC__v10_a15_g1_s200.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',0.07670185399183538,,,,,,
cbn_exp_clayton,CPC,"{""alpha"": 0.05, ""max_conditioning_set_size"": 3}",10,15,500,1,2026-08-01_04h40_cbn_exp_clayton/graphs/golden__v10_a15_g1.json,2026-08-01_04h40_cbn_exp_clayton/graphs/CPC__v10_a15_g1_s500.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',0.1683343420008896,,,,,,
cbn_exp_clayton,CMIIC,"{""alpha"": 0.05}",10,15,500,1,2026-08-01_04h40_cbn_exp_clayton/graphs/golden__v10_a15_g1.json,2026-08-01_04h40_cbn_exp_clayton/graphs/CMIIC__v10_a15_g1_s500.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',0.40522839399636723,,,,,,
cbn_exp_clayton,CPC,"{""alpha"": 0.05, ""max_conditioning_set_size"": 3}",10,15,1000,1,2026-08-01_04h40_cbn_exp_clayton/graphs/golden__v10_a15_g1.json,2026-08-01_04h40_cbn_exp_clayton/graphs/CPC__v10_a15_g1_s1000.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',0.8947640580008738,,,,,,
cbn_exp_clayton,CMIIC,"{""alpha"": 0.05}",10,15,1000,1,2026-08-01_04h40_cbn_exp_clayton/graphs/golden__v10_a15_g1.json,2026-08-01_04h40_cbn_exp_clayton/graphs/CMIIC__v10_a15_g1_s1000.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',1.3586628379998729,,,,,,
cbn_exp_clayton,CPC,"{""alpha"": 0.05, ""max_conditioning_set_size"": 3}",10,15,3000,1,2026-08-01_04h40_cbn_exp_clayton/graphs/golden__v10_a15_g1.json,2026-08-01_04h40_cbn_exp_clayton/graphs/CPC__v10_a15_g1_s3000.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',9.65859637298854,,,,,,
cbn_exp_clayton,CMIIC,"{""alpha"": 0.05}",10,15,3000,1,2026-08-01_04h40_cbn_exp_clayton/graphs/golden__v10_a15_g1.json,2026-08-01_04h40_cbn_exp_clayton/graphs/CMIIC__v10_a15_g1_s3000.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',8.754921290004859,,,,,,
cbn_exp_clayton,CPC,"{""alpha"": 0.05, ""max_conditioning_set_size"": 3}",10,15,5000,1,2026-08-01_04h40_cbn_exp_clayton/graphs/golden__v10_a15_g1.json,2026-08-01_04h40_cbn_exp_clayton/graphs/CPC__v10_a15_g1_s5000.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',32.01462808799988,,,,,,
cbn_exp_clayton,CMIIC,"{""alpha"": 0.05}",10,15,5000,1,2026-08-01_04h40_cbn_exp_clayton/graphs/golden__v10_a15_g1.json,2026-08-01_04h40_cbn_exp_clayton/graphs/CMIIC__v10_a15_g1_s5000.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',24.022190848001628,,,,,,
cbn_exp_clayton,CPC,"{""alpha"": 0.05, ""max_conditioning_set_size"": 3}",10,15,200,2,2026-08-01_04h40_cbn_exp_clayton/graphs/golden__v10_a15_g2.json,2026-08-01_04h40_cbn_exp_clayton/graphs/CPC__v10_a15_g2_s200.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',0.03177775299991481,,,,,,
cbn_exp_clayton,CMIIC,"{""alpha"": 0.05}",10,15,200,2,2026-08-01_04h40_cbn_exp_clayton/graphs/golden__v10_a15_g2.json,2026-08-01_04h40_cbn_exp_clayton/graphs/CMIIC__v10_a15_g2_s200.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',0.120563962002052,,,,,,
cbn_exp_clayton,CPC,"{""alpha"": 0.05, ""max_conditioning_set_size"": 3}",10,15,500,2,2026-08-01_04h40_cbn_exp_clayton/graphs/golden__v10_a15_g2.json,2026-08-01_04h40_cbn_exp_clayton/graphs/CPC__v10_a15_g2_s500.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',0.18063266499666497,,,,,,
cbn_exp_clayton,CMIIC,"{""alpha"": 0.05}",10,15,500,2,2026-08-01_04h40_cbn_exp_clayton/graphs/golden__v10_a15_g2.json,2026-08-01_04h40_cbn_exp_clayton/graphs/CMIIC__v10_a15_g2_s500.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',0.5316160380025394,,,,,,
cbn_exp_clayton,CPC,"{""alpha"": 0.05, ""max_conditioning_set_size"": 3}",10,15,1000,2,2026-08-01_04h40_cbn_exp_clayton/graphs/golden__v10_a15_g2.json,2026-08-01_04h40_cbn_exp_clayton/graphs/CPC__v10_a15_g2_s1000.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',1.289040108997142,,,,,,
cbn_exp_clayton,CMIIC,"{""alpha"": 0.05}",10,15,1000,2,2026-08-01_04h40_cbn_exp_clayton/graphs/golden__v10_a15_g2.json,2026-08-01_04h40_cbn_exp_clayton/graphs/CMIIC__v10_a15_g2_s1000.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',1.7439697180088842,,,,,,
cbn_exp_clayton,CPC,"{""alpha"": 0.05, ""max_conditioning_set_size"": 3}",10,15,3000,2,2026-08-01_04h40_cbn_exp_clayton/graphs/golden__v10_a15_g2.json,2026-08-01_04h40_cbn_exp_clayton/graphs/CPC__v10_a15_g2_s3000.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',19.648503160002292,,,,,,
cbn_exp_clayton,CMIIC,"{""alpha"": 0.05}",10,15,3000,2,2026-08-01_04h40_cbn_exp_clayton/graphs/golden__v10_a15_g2.json,2026-08-01_04h40_cbn_exp_clayton/graphs/CMIIC__v10_a15_g2_s3000.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',14.788821547001135,,,,,,
cbn_exp_clayton,CPC,"{""alpha"": 0.05, ""max_conditioning_set_size"": 3}",10,15,5000,2,2026-08-01_04h40_cbn_exp_clayton/graphs/golden__v10_a15_g2.json,,[pyAgrum] Partially directed cycle detected: Add a partial directed cycle in a PDAG : between 6 and 0,,,,,,,
cbn_exp_clayton,CMIIC,"{""alpha"": 0.05}",10,15,5000,2,2026-08-01_04h40_cbn_exp_clayton/graphs/golden__v10_a15_g2.json,2026-08-01_04h40_cbn_exp_clayton/graphs/CMIIC__v10_a15_g2_s5000.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',37.17806102099712,,,,,,
cbn_exp_clayton,CPC,"{""alpha"": 0.05, ""max_conditioning_set_size"": 3}",10,15,200,3,2026-08-01_04h40_cbn_exp_clayton/graphs/golden__v10_a15_g3.json,2026-08-01_04h40_cbn_exp_clayton/graphs/CPC__v10_a15_g3_s200.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',0.0351798400079133,,,,,,
cbn_exp_clayton,CMIIC,"{""alpha"": 0.05}",10,15,200,3,2026-08-01_04h40_cbn_exp_clayton/graphs/golden__v10_a15_g3.json,2026-08-01_04h40_cbn_exp_clayton/graphs/CMIIC__v10_a15_g3_s200.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',0.13316408699029125,,,,,,
cbn_exp_clayton,CPC,"{""alpha"": 0.05, ""max_conditioning_set_size"": 3}",10,15,500,3,2026-08-01_04h40_cbn_exp_clayton/graphs/golden__v10_a15_g3.json,2026-08-01_04h40_cbn_exp_clayton/graphs/CPC__v10_a15_g3_s500.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',0.24099959099839907,,,,,,
cbn_exp_clayton,CMIIC,"{""alpha"": 0.05}",10,15,500,3,2026-08-01_04h40_cbn_exp_clayton/graphs/golden__v10_a15_g3.json,2026-08-01_04h40_cbn_exp_clayton/graphs/CMIIC__v10_a15_g3_s500.json,metrics: module 'pyagrum' has no attribute 'StructuralMetrics',0.6003217389952624,,,,,,
