generator_name,algo,algo_params,n_vars,n_arcs,n_samples,graph_idx,golden_path,learned_path,error_msg,time_s,SHD,SHD_skeleton,F1-Score,F1-Score_skeleton,TPR,TPR_skeleton
sem_gaussian,CPC,"{""alpha"": 0.05, ""max_conditioning_set_size"": 3}",10,15,200,0,/home/mathis/Documents/Travail/cbnsl_benchmark/experiments/scaling/agrum3/../../../experiments/scaling/agrum3/2026-07-30_14h34_sem_gaussian/graphs/golden__v10_a15_g0.json,/home/mathis/Documents/Travail/cbnsl_benchmark/experiments/scaling/agrum3/../../../experiments/scaling/agrum3/2026-07-30_14h34_sem_gaussian/graphs/CPC__v10_a15_g0_s200.json,,0.027479658001539065,15.0,12.0,0.0,0.33333333333333337,0.0,0.2
sem_gaussian,CMIIC,"{""alpha"": 0.05}",10,15,200,0,/home/mathis/Documents/Travail/cbnsl_benchmark/experiments/scaling/agrum3/../../../experiments/scaling/agrum3/2026-07-30_14h34_sem_gaussian/graphs/golden__v10_a15_g0.json,/home/mathis/Documents/Travail/cbnsl_benchmark/experiments/scaling/agrum3/../../../experiments/scaling/agrum3/2026-07-30_14h34_sem_gaussian/graphs/CMIIC__v10_a15_g0_s200.json,,0.06658695099758916,16.0,9.0,0.11111111111111112,0.64,0.125,0.5333333333333333
sem_gaussian,CPC,"{""alpha"": 0.05, ""max_conditioning_set_size"": 3}",10,15,500,0,/home/mathis/Documents/Travail/cbnsl_benchmark/experiments/scaling/agrum3/../../../experiments/scaling/agrum3/2026-07-30_14h34_sem_gaussian/graphs/golden__v10_a15_g0.json,/home/mathis/Documents/Travail/cbnsl_benchmark/experiments/scaling/agrum3/../../../experiments/scaling/agrum3/2026-07-30_14h34_sem_gaussian/graphs/CPC__v10_a15_g0_s500.json,,0.16356160299983458,14.0,10.0,0.12500000000000003,0.5,0.09090909090909091,0.3333333333333333
sem_gaussian,CMIIC,"{""alpha"": 0.05}",10,15,500,0,/home/mathis/Documents/Travail/cbnsl_benchmark/experiments/scaling/agrum3/../../../experiments/scaling/agrum3/2026-07-30_14h34_sem_gaussian/graphs/golden__v10_a15_g0.json,/home/mathis/Documents/Travail/cbnsl_benchmark/experiments/scaling/agrum3/../../../experiments/scaling/agrum3/2026-07-30_14h34_sem_gaussian/graphs/CMIIC__v10_a15_g0_s500.json,,0.2519599820006988,15.0,7.0,0.11764705882352941,0.7200000000000001,0.14285714285714285,0.6
sem_gaussian,CPC,"{""alpha"": 0.05, ""max_conditioning_set_size"": 3}",10,15,1000,0,/home/mathis/Documents/Travail/cbnsl_benchmark/experiments/scaling/agrum3/../../../experiments/scaling/agrum3/2026-07-30_14h34_sem_gaussian/graphs/golden__v10_a15_g0.json,/home/mathis/Documents/Travail/cbnsl_benchmark/experiments/scaling/agrum3/../../../experiments/scaling/agrum3/2026-07-30_14h34_sem_gaussian/graphs/CPC__v10_a15_g0_s1000.json,,0.7640065390005475,14.0,8.0,0.125,0.6363636363636364,0.1111111111111111,0.4666666666666667
sem_gaussian,CMIIC,"{""alpha"": 0.05}",10,15,1000,0,/home/mathis/Documents/Travail/cbnsl_benchmark/experiments/scaling/agrum3/../../../experiments/scaling/agrum3/2026-07-30_14h34_sem_gaussian/graphs/golden__v10_a15_g0.json,/home/mathis/Documents/Travail/cbnsl_benchmark/experiments/scaling/agrum3/../../../experiments/scaling/agrum3/2026-07-30_14h34_sem_gaussian/graphs/CMIIC__v10_a15_g0_s1000.json,,1.2661560209999152,15.0,6.0,0.11764705882352942,0.7692307692307692,0.16666666666666666,0.6666666666666666
sem_gaussian,CPC,"{""alpha"": 0.05, ""max_conditioning_set_size"": 3}",10,15,3000,0,/home/mathis/Documents/Travail/cbnsl_benchmark/experiments/scaling/agrum3/../../../experiments/scaling/agrum3/2026-07-30_14h34_sem_gaussian/graphs/golden__v10_a15_g0.json,/home/mathis/Documents/Travail/cbnsl_benchmark/experiments/scaling/agrum3/../../../experiments/scaling/agrum3/2026-07-30_14h34_sem_gaussian/graphs/CPC__v10_a15_g0_s3000.json,,7.839502933999029,10.0,7.0,0.5454545454545454,0.7200000000000001,0.5,0.6
sem_gaussian,CMIIC,"{""alpha"": 0.05}",10,15,3000,0,/home/mathis/Documents/Travail/cbnsl_benchmark/experiments/scaling/agrum3/../../../experiments/scaling/agrum3/2026-07-30_14h34_sem_gaussian/graphs/golden__v10_a15_g0.json,/home/mathis/Documents/Travail/cbnsl_benchmark/experiments/scaling/agrum3/../../../experiments/scaling/agrum3/2026-07-30_14h34_sem_gaussian/graphs/CMIIC__v10_a15_g0_s3000.json,,8.50387185100044,9.0,6.0,0.6086956521739131,0.7692307692307692,0.5833333333333334,0.6666666666666666
sem_gaussian,CPC,"{""alpha"": 0.05, ""max_conditioning_set_size"": 3}",10,15,5000,0,/home/mathis/Documents/Travail/cbnsl_benchmark/experiments/scaling/agrum3/../../../experiments/scaling/agrum3/2026-07-30_14h34_sem_gaussian/graphs/golden__v10_a15_g0.json,/home/mathis/Documents/Travail/cbnsl_benchmark/experiments/scaling/agrum3/../../../experiments/scaling/agrum3/2026-07-30_14h34_sem_gaussian/graphs/CPC__v10_a15_g0_s5000.json,,33.77902028599783,14.0,7.0,0.3,0.7407407407407408,0.375,0.6666666666666666
sem_gaussian,CMIIC,"{""alpha"": 0.05}",10,15,5000,0,/home/mathis/Documents/Travail/cbnsl_benchmark/experiments/scaling/agrum3/../../../experiments/scaling/agrum3/2026-07-30_14h34_sem_gaussian/graphs/golden__v10_a15_g0.json,/home/mathis/Documents/Travail/cbnsl_benchmark/experiments/scaling/agrum3/../../../experiments/scaling/agrum3/2026-07-30_14h34_sem_gaussian/graphs/CMIIC__v10_a15_g0_s5000.json,,26.277834613996674,11.0,6.0,0.47619047619047616,0.7692307692307692,0.5,0.6666666666666666
