generator_name,algo,algo_params,n_vars,n_arcs,n_samples,graph_idx,golden_path,learned_path,error_msg,time_s,SHD,SHD_skeleton,F1-Score,F1-Score_skeleton,TPR,TPR_skeleton,version,source
cbn_unif_gauss,MIIC,"{""n_bins"": 4, ""discretization_method"": ""quantile""}",10,15,200,0,/home/mathis/Documents/Travail/cbnsl_benchmark/scaling/../scaling/results/2026-04-02_17h41_cbn_unif_gauss/graphs/golden__v10_a15_g0.json,/home/mathis/Documents/Travail/cbnsl_benchmark/scaling/../scaling/results/2026-04-02_17h41_cbn_unif_gauss/graphs/MIIC__v10_a15_g0_s200.json,,0.0202628269908018,15.0,10.0,0.11764705882352941,0.5454545454545455,0.1,0.4,agrum2,agrum2/first_run/results/2026-04-02_17h41_cbn_unif_gauss
cbn_unif_gauss,GHC+BDeu,"{""n_bins"": 4, ""discretization_method"": ""quantile""}",10,15,200,0,/home/mathis/Documents/Travail/cbnsl_benchmark/scaling/../scaling/results/2026-04-02_17h41_cbn_unif_gauss/graphs/golden__v10_a15_g0.json,/home/mathis/Documents/Travail/cbnsl_benchmark/scaling/../scaling/results/2026-04-02_17h41_cbn_unif_gauss/graphs/GHC+BDeu__v10_a15_g0_s200.json,,0.019803232018603,15.0,11.0,0.11764705882352942,0.47619047619047616,0.09090909090909091,0.3333333333333333,agrum2,agrum2/first_run/results/2026-04-02_17h41_cbn_unif_gauss
cbn_unif_gauss,NOTEARS,"{""lambda1"": 0.0, ""w_threshold_notears"": 0.3}",10,15,200,0,/home/mathis/Documents/Travail/cbnsl_benchmark/scaling/../scaling/results/2026-04-02_17h41_cbn_unif_gauss/graphs/golden__v10_a15_g0.json,/home/mathis/Documents/Travail/cbnsl_benchmark/scaling/../scaling/results/2026-04-02_17h41_cbn_unif_gauss/graphs/NOTEARS__v10_a15_g0_s200.json,,1.358547288022237,17.0,7.0,0.10526315789473682,0.7586206896551724,0.2,0.7333333333333333,agrum2,agrum2/first_run/results/2026-04-02_17h41_cbn_unif_gauss
cbn_unif_gauss,NOTEARS Disc.,"{""lambda1"": 0.1, ""w_threshold_notears"": 0.1, ""n_bins"": 4, ""discretization_method"": ""quantile""}",10,15,200,0,/home/mathis/Documents/Travail/cbnsl_benchmark/scaling/../scaling/results/2026-04-02_17h41_cbn_unif_gauss/graphs/golden__v10_a15_g0.json,/home/mathis/Documents/Travail/cbnsl_benchmark/scaling/../scaling/results/2026-04-02_17h41_cbn_unif_gauss/graphs/NOTEARS Disc.__v10_a15_g0_s200.json,,1.6823056759894826,5.0,2.0,0.8148148148148148,0.9333333333333333,0.9166666666666666,0.9333333333333333,agrum2,agrum2/first_run/results/2026-04-02_17h41_cbn_unif_gauss
cbn_unif_gauss,LiNGAM,"{""threshold_lingam"": 0.1}",10,15,200,0,/home/mathis/Documents/Travail/cbnsl_benchmark/scaling/../scaling/results/2026-04-02_17h41_cbn_unif_gauss/graphs/golden__v10_a15_g0.json,/home/mathis/Documents/Travail/cbnsl_benchmark/scaling/../scaling/results/2026-04-02_17h41_cbn_unif_gauss/graphs/LiNGAM__v10_a15_g0_s200.json,,0.2418175100174266,5.0,4.0,0.8275862068965518,0.8666666666666667,0.8571428571428571,0.8666666666666667,agrum2,agrum2/first_run/results/2026-04-02_17h41_cbn_unif_gauss
cbn_unif_gauss,MIIC,"{""n_bins"": 4, ""discretization_method"": ""quantile""}",10,15,500,0,/home/mathis/Documents/Travail/cbnsl_benchmark/scaling/../scaling/results/2026-04-02_17h41_cbn_unif_gauss/graphs/golden__v10_a15_g0.json,/home/mathis/Documents/Travail/cbnsl_benchmark/scaling/../scaling/results/2026-04-02_17h41_cbn_unif_gauss/graphs/MIIC__v10_a15_g0_s500.json,,0.0290782800002489,15.0,9.0,0.11764705882352941,0.608695652173913,0.1111111111111111,0.4666666666666667,agrum2,agrum2/first_run/results/2026-04-02_17h41_cbn_unif_gauss
cbn_unif_gauss,GHC+BDeu,"{""n_bins"": 4, ""discretization_method"": ""quantile""}",10,15,500,0,/home/mathis/Documents/Travail/cbnsl_benchmark/scaling/../scaling/results/2026-04-02_17h41_cbn_unif_gauss/graphs/golden__v10_a15_g0.json,/home/mathis/Documents/Travail/cbnsl_benchmark/scaling/../scaling/results/2026-04-02_17h41_cbn_unif_gauss/graphs/GHC+BDeu__v10_a15_g0_s500.json,,0.0275169649976305,15.0,9.0,0.11764705882352941,0.608695652173913,0.1111111111111111,0.4666666666666667,agrum2,agrum2/first_run/results/2026-04-02_17h41_cbn_unif_gauss
cbn_unif_gauss,NOTEARS,"{""lambda1"": 0.0, ""w_threshold_notears"": 0.3}",10,15,500,0,/home/mathis/Documents/Travail/cbnsl_benchmark/scaling/../scaling/results/2026-04-02_17h41_cbn_unif_gauss/graphs/golden__v10_a15_g0.json,/home/mathis/Documents/Travail/cbnsl_benchmark/scaling/../scaling/results/2026-04-02_17h41_cbn_unif_gauss/graphs/NOTEARS__v10_a15_g0_s500.json,,2.4860716209805105,14.0,5.0,0.2222222222222222,0.8148148148148148,0.3333333333333333,0.7333333333333333,agrum2,agrum2/first_run/results/2026-04-02_17h41_cbn_unif_gauss
cbn_unif_gauss,NOTEARS Disc.,"{""lambda1"": 0.1, ""w_threshold_notears"": 0.1, ""n_bins"": 4, ""discretization_method"": ""quantile""}",10,15,500,0,/home/mathis/Documents/Travail/cbnsl_benchmark/scaling/../scaling/results/2026-04-02_17h41_cbn_unif_gauss/graphs/golden__v10_a15_g0.json,/home/mathis/Documents/Travail/cbnsl_benchmark/scaling/../scaling/results/2026-04-02_17h41_cbn_unif_gauss/graphs/NOTEARS Disc.__v10_a15_g0_s500.json,,1.3699530650046654,12.0,4.0,0.4545454545454545,0.8666666666666667,0.7142857142857143,0.8666666666666667,agrum2,agrum2/first_run/results/2026-04-02_17h41_cbn_unif_gauss
cbn_unif_gauss,LiNGAM,"{""threshold_lingam"": 0.1}",10,15,500,0,/home/mathis/Documents/Travail/cbnsl_benchmark/scaling/../scaling/results/2026-04-02_17h41_cbn_unif_gauss/graphs/golden__v10_a15_g0.json,/home/mathis/Documents/Travail/cbnsl_benchmark/scaling/../scaling/results/2026-04-02_17h41_cbn_unif_gauss/graphs/LiNGAM__v10_a15_g0_s500.json,,0.2361434100021142,3.0,2.0,0.9032258064516129,0.9375,1.0,1.0,agrum2,agrum2/first_run/results/2026-04-02_17h41_cbn_unif_gauss
